20230103 004100;11025.75;11028.5;11025.75;11026.75;126
20230103 004200;11027;11027.75;11021.5;11023.5;288
20230103 004300;11024;11026.25;11022;11022.25;182
20230103 004400;11022.25;11024.75;11019.75;11022;231
20230103 004500;11021.75;11022;11018;11019.25;156
20230103 004600;11019;11019.5;11016.25;11016.5;245
20230103 004700;11016.5;11023;11015.5;11021.75;338
20230103 004800;11022;11024;11021.75;11023.5;149
20230103 004900;11023.75;11024.5;11022;11022;134
20230103 005000;11021.75;11022.75;11017.5;11018;350
20230103 005100;11018;11019;11016.75;11018.5;163
20230103 005200;11018.75;11021.5;11018;11021.25;190
20230103 005300;11021.25;11021.25;11016.75;11017.25;117
20230103 005400;11017.25;11019.5;11003.5;11004.75;1281
20230103 005500;11005;11007.75;11001.75;11006.25;873
20230103 005600;11007;11007.25;11000.75;11003;486
20230103 005700;11003;11004.5;11002.25;11003.25;311
20230103 005800;11002.75;11004.75;11001.75;11004;247
20230103 005900;11004;11008.5;11003.25;11008;300
20230103 010000;11009;11010.75;10995;10996.75;1299
20230103 010100;10996.75;10997.75;10972;10988.25;2388
20230103 010200;10988;10990.25;10984.5;10987.5;462
20230103 010300;10987;10987;10978.75;10980.75;824
20230103 010400;10980.5;10984.25;10976.25;10978.75;468
20230103 010500;10979;10987;10975.5;10983.75;600
20230103 010600;10983;10983.75;10975.5;10975.5;530
20230103 010700;10975.25;10978;10967;10973.25;1463
20230103 010800;10973.25;10975.25;10970;10971.75;503
20230103 010900;10971.75;10973;10969;10971.75;510
20230103 011000;10971.25;10976;10969;10974.75;393
20230103 011100;10974.75;10975.25;10967.5;10970.25;466
20230103 011200;10970.75;10976.5;10970.75;10974.75;327
20230103 011300;10975.25;10976.75;10973.25;10974.75;269
20230103 011400;10974.75;10979.25;10974.25;10975.5;387
20230103 011500;10974.75;10976.25;10973.25;10975.25;253
20230103 011600;10975.75;10981.25;10972.5;10978.75;506
20230103 011700;10979;10980.25;10976.5;10978;359
20230103 011800;10978;10981.25;10976.5;10977.5;248
20230103 011900;10977.75;10979;10976;10977;197
20230103 012000;10977;10977.5;10971.25;10974.75;389
20230103 012100;10975;10975;10968.5;10969.5;381
20230103 012200;10969.5;10970;10960.75;10964;1198
20230103 012300;10963.75;10967.75;10963.25;10966.25;483
20230103 012400;10966.5;10970.75;10956.75;10958.5;984
20230103 012500;10958.75;10959.5;10954;10956.75;748
20230103 012600;10956.5;10958.25;10951.75;10958.25;685
20230103 012700;10957.75;10959.5;10954.75;10959.5;311
20230103 012800;10958.75;10959.25;10954.5;10955.75;287
20230103 012900;10955;10958.75;10954.25;10956.5;350
20230103 013000;10956.75;10959.25;10954.75;10958.25;300
20230103 013100;10958;10962.25;10954.5;10960.75;420
20230103 013200;10960.75;10963.25;10956.25;10959.5;418
20230103 013300;10958.75;10963;10958;10961;269
20230103 013400;10960;10961.25;10957.5;10959.5;366
20230103 013500;10958.75;10962.25;10956.5;10960.25;380
20230103 013600;10960.25;10961.5;10955.75;10960.25;363
20230103 013700;10960.25;10960.5;10956.75;10958.5;228
20230103 013800;10958.75;10963.25;10957.75;10963;244
20230103 013900;10963;10963.75;10960.5;10962;220
20230103 014000;10962.25;10963;10960.25;10960.5;171
20230103 014100;10960.5;10961.25;10959;10960.5;196
20230103 014200;10960.75;10964.5;10959;10962.5;221
20230103 014300;10963.25;10970.5;10962;10968.25;742
20230103 014400;10968.25;10973.25;10967.75;10970.75;426
20230103 014500;10971;10972.75;10970;10972.5;225
20230103 014600;10972.75;10977.25;10971.75;10973;392
20230103 014700;10972.75;10973;10967.75;10967.75;380
20230103 014800;10968.75;10969.75;10967;10968.5;148
20230103 014900;10969;10971;10967.25;10970.75;154
20230103 015000;10971.25;10976;10970;10973.25;339
20230103 015100;10973.25;10973.75;10965.5;10966.5;326
20230103 015200;10966.75;10971;10964;10968.25;275
20230103 015300;10968.25;10970;10967.75;10968;148
20230103 015400;10968.25;10971.25;10968.25;10970.5;120
20230103 015500;10970.25;10973;10969.75;10972.75;167
20230103 015600;10972.5;10973.5;10969.75;10972;181
20230103 015700;10972.5;10975.25;10970.75;10974.75;205
20230103 015800;10975;10984.75;10975;10984;816
20230103 015900;10984.25;10987.5;10982.5;10986;702
20230103 020000;10986.5;10989;10984.5;10985.5;471
20230103 020100;10985.75;10985.75;10979.5;10982;563
20230103 020200;10982;10982;10978.5;10979.5;251
20230103 020300;10979.75;10980.25;10977.75;10979;198
20230103 020400;10978.75;10984.75;10978.75;10984;214
20230103 020500;10983.75;10988.25;10982.5;10987.5;305
20230103 020600;10987.5;10989;10985.25;10986.75;309
20230103 020700;10987;10987.25;10982;10984.25;200
20230103 020800;10984.75;10987;10984.25;10984.75;96
20230103 020900;10985;10985.5;10982;10982.25;112
20230103 021000;10982.5;10984.75;10982.25;10984;91
20230103 021100;10984.25;10985;10981.75;10985;239
20230103 021200;10985.5;10988.75;10985.5;10987.25;291
20230103 021300;10987.25;10992.5;10982;10983.25;543
20230103 021400;10983.25;10987.5;10981;10981.25;316
20230103 021500;10982;10982.5;10980;10981;266
20230103 021600;10981.25;10981.25;10976.5;10978.5;445
20230103 021700;10978.75;10979.75;10976;10979.25;249
20230103 021800;10979;10982.25;10978;10980.5;217
20230103 021900;10980.75;10987.5;10980.75;10985.75;361
20230103 022000;10986.75;10988.5;10985;10987;183
20230103 022100;10987.25;10992.25;10986;10990;338
20230103 022200;10990.75;10992.75;10989.5;10991;313
20230103 022300;10991.25;10991.5;10986.25;10987.25;261
20230103 022400;10987.5;10990.75;10987.25;10990.5;97
20230103 022500;10990;10994;10990;10993;304
20230103 022600;10993.25;10994;10990.25;10992.75;190
20230103 022700;10993.25;10994.5;10989.25;10991.25;291
20230103 022800;10991.5;10993;10988.75;10990.25;217
20230103 022900;10989.75;10992.75;10989;10992.25;100
20230103 023000;10992;10993.25;10991;10991.5;105
20230103 023100;10991.75;10993;10990.5;10990.5;131
20230103 023200;10990;10991.25;10988.75;10991;132
20230103 023300;10991.5;10993.25;10991;10992;123
20230103 023400;10992.25;10996.5;10990.25;10996;385
20230103 023500;10995.75;10997.5;10994.75;10995.75;412
20230103 023600;10995.25;10998.5;10994.75;10996.75;415
20230103 023700;10997;10997.25;10994;10994.75;185
20230103 023800;10995.25;11002.75;10994.5;11001.25;428
20230103 023900;11001.75;11008.25;10998.75;11006.5;753
20230103 024000;11006.5;11010.5;11004.75;11008;508
20230103 024100;11008.5;11010.5;11006.75;11008.5;324
20230103 024200;11008.75;11009.75;11006.25;11007.5;310
20230103 024300;11007.75;11008;11004.25;11007;301
20230103 024400;11007.25;11011.25;11006.25;11010.75;235
20230103 024500;11010.25;11015;11010;11013.75;574
