"id","barcode","id","name","standard_price","uom_id","default_code","qty_available","categ_id","sale_ok","purchase_ok","available_in_pos","description","seller_ids/company_id","seller_ids/price","base_unit_id","seller_ids/product_uom_id/name","seller_ids/min_qty","seller_ids/company_id/id","seller_ids/company_id/name"
"__export__.product_template_1256_aad05b7a","","__export__.product_template_1256_aad05b7a","Arepas Congeladas Queso 6 Und","0.0","Unidades","PC-001","0.0","TODOS LOS PRODUCTOS / COMIDA / TEQUEÑOS / CONGELADOS","True","True","","","","","","","","",""
"__export__.product_template_49_49e7790c","202628","__export__.product_template_49_49e7790c","Azúcar blanca Doña María ","4185.0","PQT-5K","M5001","0.0","TODAS LAS CUENTAS / Costo Producto / Abarrotes","","True","","<p>Abarrote para elaboración de receta</p>","Pablo Pereira Magnere","0.84","","g","5000.0","base.main_company","Pablo Pereira Magnere"
"__export__.product_template_1154_f284922e","120316","__export__.product_template_1154_f284922e","Bandeja Bagazo Caña S/D 6X6","2540.0","PQT-50","M6004","0.0","TODAS LAS CUENTAS / Costo Producto / Consumible","","True","","<p>Consumible para entrega de producto</p>","Pablo Pereira Magnere","50.8","","Unidades","50.0","base.main_company","Pablo Pereira Magnere"
"__export__.product_template_1152_f1245063","6X9BIO","__export__.product_template_1152_f1245063","Bandeja de 6x9","6000.0","PQT-50","M6002","0.0","TODAS LAS CUENTAS / Costo Producto / Consumible","","True","","<p>Consumible para entrega de producto</p>","Pablo Pereira Magnere","4850.0","","Unidades","50.0","base.main_company","Pablo Pereira Magnere"
"__export__.product_template_1153_1d26a4a8","8X8BIO","__export__.product_template_1153_1d26a4a8","Bandeja de 8x8","4900.0","PQT-50","M6003","0.0","TODAS LAS CUENTAS / Costo Producto / Consumible","","True","","<p>Consumible para entrega de producto</p>","Pablo Pereira Magnere","98.0","","Unidades","50.0","base.main_company","Pablo Pereira Magnere"
"__export__.product_template_1184_b2460b50","PIEBAJA","__export__.product_template_1184_b2460b50","Bandeja pie baja","95.0","PQT-35","M6029","0.0","TODAS LAS CUENTAS / Costo Producto / Consumible","","True","","<p>Consumible para entrega de producto</p>","Pablo Pereira Magnere","95.0","","Unidades","1.0","base.main_company","Pablo Pereira Magnere"
"__export__.product_template_1168_a6752203","09040022","__export__.product_template_1168_a6752203","Bolsa alimentos Plástica 15x20cm","700.0","PQT-150","M6018","0.0","TODAS LAS CUENTAS / Costo Producto / Consumible","","True","","<p>Consumible para entrega de producto</p>","Pablo Pereira Magnere","4.67","","Unidades","150.0","base.main_company","Pablo Pereira Magnere"
"__export__.product_template_1170_59cae253","09040018","__export__.product_template_1170_59cae253","Bolsa alimentos cierre zipper plástica 26.8x27.9cm","1700.0","PQT-50","M6020","0.0","TODAS LAS CUENTAS / Costo Producto / Consumible","","True","","<p>Consumible para entrega de producto</p>","Pablo Pereira Magnere","34.0","","Unidades","50.0","base.main_company","Pablo Pereira Magnere"
"__export__.product_template_1169_524c21b0","09040021","__export__.product_template_1169_524c21b0","Bolsa alimentos cierre zipper plástica 33x39.6cm","1800.0","PQT-25","M6019","0.0","TODAS LAS CUENTAS / Costo Producto / Consumible","","True","","<p>Consumible para entrega de producto</p>","Pablo Pereira Magnere","72.0","","Unidades","25.0","base.main_company","Pablo Pereira Magnere"
"__export__.product_template_1172_c10613d8","09040024","__export__.product_template_1172_c10613d8","Bolsa alimentos doble zipper plástica 16.5x14.9cm","1100.0","PQT-100","M6022","0.0","TODAS LAS CUENTAS / Costo Producto / Consumible","","True","","<p>Consumible para entrega de producto</p>","Pablo Pereira Magnere","11.0","","Unidades","100.0","base.main_company","Pablo Pereira Magnere"
"__export__.product_template_1167_1e582805","09040023","__export__.product_template_1167_1e582805","Bolsa alimentos plástica 31.7x27.9cm","900.0","PQT-60","M6017","0.0","TODAS LAS CUENTAS / Costo Producto / Consumible","","True","","<p>Consumible para entrega de producto</p>","Pablo Pereira Magnere","15.0","","Unidades","60.0","base.main_company","Pablo Pereira Magnere"
"__export__.product_template_1171_28b5c282","09030006","__export__.product_template_1171_28b5c282","Bolsa basura blanca 46x48cm","1000.0","PQT-100","M1013","0.0","TODAS LAS CUENTAS / Insumos de aseo y limpieza","","True","","<p>Consumible para entrega de producto</p>","Pablo Pereira Magnere","1000.0","","PQT-100","1.0","base.main_company","Pablo Pereira Magnere"
"__export__.product_template_1178_bf213f45","09030008","__export__.product_template_1178_bf213f45","Bolsa basura negra 76.2x90cm","3100.0","PQT-50","M1012","0.0","TODAS LAS CUENTAS / Insumos de aseo y limpieza","","True","","<p>Consumible para entrega de producto</p>","Pablo Pereira Magnere","3100.0","","PQT-50","1.0","base.main_company","Pablo Pereira Magnere"
