ESTADO DE GANANCIAS Y PERDIDAS - AREPARTIR 2025,,,,,,,,,,,,,,,,,,,
Inversiones Las Chamas de Costa Rica S.A.,,,,,,,,,,,,,,,,,,,
Cedula Juridica: 3-101-766288,,,,,,,,,,,,,,,,,,,
Expresados en Colones Costarricenses,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre,TOTAL 2025,,,,,,
,,,,,,,,,,,,,,,,,,,
VENTAS NETAS," ?6,639,278 "," ?7,276,054 "," ?6,844,320 "," ?7,469,795 "," ?6,676,448 "," ?8,462,879 "," ?7,130,430 "," ?9,131,675 "," ?9,461,374 "," ?6,933,915 "," ?7,547,271 "," ?13,164,913 "," ?96,738,352 ",,,,,,
,,,,,,,,,,,,,,,,,,,
COSTO DE VENTA,,,,,,,,,,,,,,,,Food Cost ponderado,,,
Delivery y Comisiones (Uber + Banco)," ?39,500 "," ?44,800 "," ?42,600 "," ?46,700 "," ?49,800 "," ?55,000 "," ?52,900 "," ?57,100 "," ?60,200 "," ?49,800 "," ?53,000 "," ?65,500 "," ?616,900 ",,,,,,
Subtotal Gastos de Ventas," ?39,500 "," ?44,800 "," ?42,600 "," ?46,700 "," ?49,800 "," ?55,000 "," ?52,900 "," ?57,100 "," ?60,200 "," ?49,800 "," ?53,000 "," ?65,500 "," ?616,900 ",,,,,,
,,,,,,,,,,,,,,,,,,,
GASTOS DE MERCADEO,,,,,,,,,,,,,,,,,,,
Agencia Publicidad (Brava)," ?201,460 "," ?201,460 "," ?201,460 "," ?201,460 "," ?201,460 "," ?201,460 "," ?201,460 "," ?201,460 "," ?201,460 "," ?201,460 "," ?201,460 "," ?201,460 "," ?2,417,520 ",,,,,,
Pautas Digitales (Instagram/Meta)," ?75,548 "," ?75,548 "," ?75,548 "," ?75,548 "," ?75,548 "," ?75,548 "," ?75,548 "," ?75,548 "," ?75,548 "," ?75,548 "," ?75,548 "," ?75,548 "," ?906,576 ",,,,,,
Subtotal Gastos de Mercadeo," ?277,008 "," ?277,008 "," ?277,008 "," ?277,008 "," ?277,008 "," ?277,008 "," ?277,008 "," ?277,008 "," ?277,008 "," ?277,008 "," ?277,008 "," ?277,008 "," ?3,324,096 ",,,,,,
,,,,,,,,,,,,,,,,,,,
TOTAL GASTOS OPERATIVOS," ?2,218,780 "," ?2,253,300 "," ?2,218,858 "," ?2,230,458 "," ?2,294,445 "," ?2,396,015 "," ?2,269,158 "," ?2,324,715 "," ?2,303,081 "," ?2,261,808 "," ?2,320,758 "," ?2,423,016 "," ?27,514,392 ",,,,,,
,,,,,,,,,,,,,,,,,,,
