Period,Time Increment,Sales,Orders,Ticket Size,Currency Code,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last period,marzo," ?4,821,150.00 ",362,"13,318.09",CRC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last period,abril," ?3,818,350.00 ",276,"13,834.60",CRC,,,,,,,,,,,,,10503313.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last period,mayo," ?4,491,400.00 ",300,"14,971.33",CRC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,89100,,,,,34349,,25700,,,31179.9,,,,12750,,,,872664.63,,,886590.79,,174467.13,,,79000,,,15350,,,,3950,,,,74518,
,,,,,,,,78500,,,,,5700,,27993.28,,,92657.25,,,,174750,,,77363.18,,,14700,,,45500,,,24000,,,23500,,,,25950,,,,12500,
,,,,,,,,41200,,,,,22150,,134916.8,,,7451.8,,,,44800,,,11000,,,69893.15,,,84550,,,50500,,,70250,,,,74900,,,,19850,
,,,,,,,,61771.5,,,,,4450,,4300,,,32500,,,,108640.13,,,300,,,4400,,,37300,,,11950,,,164970.11,,,,31900,,,,24800,
,,,,,,,,78300,,,,,64141,,4450,,,33750,,,,4450,,,189089.43,,,8400,,,54000,,,53780.43,,,13350,,,,190413.1,,,,158663.28,
,,,,,,,,88294.03,,,,,20000,,196069.01,,,18825.6,,,,64600,,,97461.7,,,22453.45,,,16800,,,24750,,,147810.38,,,,30800,,,,39700,
,,,,,,,,62506.88,,,,,29000,,19850,,,,775430.42,,,80302.95,,,2250,,,8900,,,147614.28,,,83110.53,,,33800,,,,13950,,,,19953.18,
,,,,,,,,31500,,,,,22638,,1750,,,42000,,,,15950,,,55251.18,,,43681.28,,,124082.28,,,66000,,,216000,,,,23000,,,,32900,
,,,,,,,,5100,,,,,16170,,28385.48,,,36437.56,,,,1500,,,57700,,,16900,,,23500,,,20835.63,,,175826.43,,,,132171.4,,,,44955.93,
,,,,,,,,,1031228.55,,,,,894194.03,17300,,,14070.18,,,,9800,,,36915.83,,,3000,,,22500,,,11408,,,,1201460.61,,,9800,,,,51300,
,,,,,,,,43500,,,,,43904,,9800,,,36800,,,,27200,,,,771997.36,,3700,,,53535.3,,,36621.68,,,15400,,,,21000,,,,19350,
,,,,,,,,57653.4,,,,,44650,,3950,,,35800,,,,17000,,,7600,,,12950,,,67500,,,75000,,,17850,,,,102315.18,,,,24500,
,,,,,,,,3700,,,,,21070,,112267.25,,,35101,,,,8600,,,7500,,,3000,,,22500,,,,965324.1,,4200,,,,15300,,,,126000,
